"service_id","date","exception_type"
1,20201012,1
1,20201019,1
1,20201026,1
1,20201102,1
1,20201110,2
1,20201117,2
1,20201124,2
1,20201201,2
1,20201208,2
1,20201111,2
1,20201118,2
1,20201125,2
1,20201202,2
1,20201209,2
1,20201112,2
1,20201119,2
1,20201126,2
1,20201203,2
1,20201210,2
1,20201113,2
1,20201120,2
1,20201127,2
1,20201204,2
1,20201211,2
1,20201114,2
1,20201121,2
1,20201128,2
1,20201205,2
1,20201212,2
2,20201012,1
2,20201019,1
2,20201026,1
2,20201102,1
2,20201110,2
2,20201117,2
2,20201124,2
2,20201201,2
2,20201208,2
2,20201111,2
2,20201118,2
2,20201125,2
2,20201202,2
2,20201209,2
2,20201112,2
2,20201119,2
2,20201126,2
2,20201203,2
2,20201210,2
2,20201113,2
2,20201120,2
2,20201127,2
2,20201204,2
2,20201211,2
3,20201012,1
3,20201019,1
3,20201026,1
3,20201102,1
3,20201110,2
3,20201117,2
3,20201124,2
3,20201201,2
3,20201208,2
3,20201111,2
3,20201118,2
3,20201125,2
3,20201202,2
3,20201209,2
3,20201112,2
3,20201119,2
3,20201126,2
3,20201203,2
3,20201210,2
3,20201113,2
3,20201120,2
3,20201127,2
3,20201204,2
3,20201211,2
3,20201114,2
3,20201121,2
3,20201128,2
3,20201205,2
3,20201212,2
3,20201115,2
3,20201122,2
3,20201129,2
3,20201206,2
4,20201106,1
4,20201107,1
4,20201108,1
5,20201024,1
6,20201024,1
6,20201025,1
7,20201026,1
7,20201027,1
7,20201028,1
7,20201029,1
7,20201009,1
7,20201016,1
7,20201025,1
8,20201010,1
8,20201017,1
9,20201010,1
9,20201017,1
9,20201011,1
9,20201018,1
10,20201102,1
10,20201103,1
10,20201104,1
10,20201105,1
10,20201106,1
11,20201102,1
11,20201103,1
11,20201104,1
11,20201105,1
11,20201106,1
11,20201031,1
11,20201107,1
11,20201101,1
11,20201108,1
12,20201031,1
12,20201107,1
12,20201101,1
12,20201108,1
13,20201102,1
13,20201103,1
13,20201104,1
13,20201105,1
13,20201106,1
13,20201031,1
13,20201107,1
14,20201031,1
14,20201107,1
15,20201025,1
16,20201011,1
17,20201101,1
17,20201108,1
18,20201017,1
18,20201024,1
18,20201018,1
18,20201025,1
19,20201010,1
19,20201011,1
20,20201010,1
21,20201130,2
21,20201207,2
21,20201201,2
21,20201208,2
21,20201202,2
21,20201209,2
21,20201203,2
21,20201210,2
21,20201204,2
21,20201211,2
22,20201205,2
22,20201212,2
23,20201205,2
23,20201212,2
23,20201206,2
24,20201130,2
24,20201207,2
24,20201201,2
24,20201208,2
24,20201202,2
24,20201209,2
24,20201203,2
24,20201210,2
24,20201204,2
24,20201211,2
24,20201205,2
24,20201212,2
25,20201206,2
26,20201130,2
26,20201207,2
26,20201201,2
26,20201208,2
26,20201202,2
26,20201209,2
26,20201203,2
26,20201210,2
26,20201204,2
26,20201211,2
26,20201205,2
26,20201212,2
26,20201206,2
28,20201010,2
28,20201017,2
28,20201024,2
28,20201107,2
28,20201114,2
29,20201010,2
29,20201017,2
29,20201024,2
29,20201107,2
29,20201114,2
29,20201101,1
29,20201122,1
29,20201129,1
29,20201206,1
30,20201012,2
30,20201019,2
30,20201102,2
30,20201006,2
30,20201013,2
30,20201020,2
30,20201103,2
30,20201007,2
30,20201014,2
30,20201021,2
30,20201104,2
30,20201008,2
30,20201015,2
30,20201022,2
30,20201105,2
30,20201009,1
30,20201016,1
30,20201120,1
30,20201127,1
30,20201010,1
30,20201017,1
30,20201025,2
30,20201101,2
30,20201108,2
30,20201115,2
31,20201102,1
31,20201006,1
31,20201013,1
31,20201020,1
31,20201103,1
31,20201007,1
31,20201014,1
31,20201021,1
31,20201104,1
31,20201008,1
31,20201015,1
31,20201022,1
31,20201105,1
31,20201009,1
31,20201016,1
31,20201023,1
31,20201106,1
31,20201024,1
31,20201031,1
31,20201205,1
31,20201212,1
31,20201101,1
31,20201122,1
31,20201129,1
31,20201206,1
32,20201012,1
32,20201019,1
32,20201102,1
32,20201006,1
32,20201013,1
32,20201020,1
32,20201103,1
32,20201007,1
32,20201014,1
32,20201021,1
32,20201104,1
32,20201008,1
32,20201015,1
32,20201022,1
32,20201105,1
32,20201023,1
32,20201030,1
32,20201204,1
32,20201211,1
32,20201010,2
32,20201017,2
32,20201024,2
32,20201107,2
32,20201114,2
32,20201101,1
33,20201102,2
33,20201103,2
33,20201104,2
33,20201105,2
33,20201106,2
34,20201010,1
34,20201205,1
34,20201212,1
34,20201011,1
34,20201206,1
35,20201128,1
35,20201129,1
36,20201031,1
36,20201107,1
36,20201114,1
36,20201121,1
36,20201101,1
36,20201108,1
36,20201115,1
36,20201122,1
37,20201102,2
37,20201103,2
37,20201104,2
37,20201111,2
37,20201105,2
37,20201106,2
38,20201111,1
38,20201010,2
38,20201031,2
38,20201107,2
38,20201128,2
38,20201011,2
38,20201101,2
38,20201108,2
38,20201129,2
39,20201010,1
39,20201128,1
39,20201011,1
39,20201129,1
40,20201102,2
40,20201103,2
40,20201104,2
40,20201111,2
40,20201105,2
40,20201106,2
40,20201010,2
40,20201031,2
40,20201107,2
40,20201128,2
41,20201010,1
41,20201128,1
42,20201102,2
42,20201103,2
42,20201104,2
42,20201105,2
42,20201106,2
42,20201010,2
42,20201031,2
42,20201107,2
42,20201128,2
42,20201011,2
42,20201101,2
42,20201108,2
42,20201129,2
43,20201010,2
43,20201031,2
43,20201107,2
43,20201128,2
44,20201012,2
44,20201102,2
44,20201006,2
44,20201013,2
44,20201020,2
44,20201103,2
44,20201007,2
44,20201014,2
44,20201021,2
44,20201104,2
44,20201111,2
44,20201008,2
44,20201015,2
44,20201022,2
44,20201105,2
44,20201009,2
44,20201016,2
44,20201023,2
44,20201106,2
45,20201019,1
45,20201116,1
45,20201123,1
45,20201207,1
45,20201025,2
45,20201101,2
45,20201108,2
45,20201129,2
46,20201111,1
46,20201011,2
46,20201101,2
46,20201108,2
46,20201129,2
47,20201011,1
47,20201129,1
48,20201102,2
48,20201103,2
48,20201104,2
48,20201105,2
48,20201106,2
48,20201011,2
48,20201101,2
48,20201108,2
48,20201129,2
49,20201012,1
49,20201006,1
49,20201013,1
49,20201020,1
49,20201007,1
49,20201014,1
49,20201021,1
49,20201111,1
49,20201008,1
49,20201015,1
49,20201022,1
49,20201009,1
49,20201016,1
49,20201023,1
49,20201010,2
49,20201031,2
49,20201107,2
49,20201128,2
49,20201011,2
49,20201101,2
49,20201108,2
49,20201129,2
52,20201107,2
54,20201114,1
54,20201108,1
55,20201009,1
55,20201031,2
55,20201107,2
55,20201114,2
55,20201101,2
55,20201108,2
56,20201024,1
56,20201031,1
56,20201101,1
57,20201024,2
57,20201031,2
57,20201025,2
57,20201101,2
57,20201206,2
58,20201025,1
58,20201101,1
59,20201025,2
59,20201101,2
60,20201111,2
60,20201010,2
60,20201017,2
60,20201024,2
60,20201114,2
60,20201121,2
61,20201111,1
62,20201114,1
62,20201121,1
63,20201010,1
63,20201017,1
63,20201024,1
65,20201111,2
66,20201111,2
67,20201111,1
