"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,1,1,1,1,1,0,20201006,20201212
2,0,1,1,1,1,0,0,20201006,20201212
3,0,1,1,1,1,1,1,20201006,20201212
4,0,0,0,0,0,0,0,20201006,20201212
5,0,0,0,0,0,0,0,20201006,20201212
6,0,0,0,0,0,0,0,20201006,20201212
7,0,0,0,0,0,0,0,20201006,20201212
8,0,0,0,0,0,0,0,20201006,20201212
9,0,0,0,0,0,0,0,20201006,20201212
10,0,0,0,0,0,0,0,20201006,20201212
11,0,0,0,0,0,0,0,20201006,20201212
12,0,0,0,0,0,0,0,20201006,20201212
13,0,0,0,0,0,0,0,20201006,20201212
14,0,0,0,0,0,0,0,20201006,20201212
15,0,0,0,0,0,0,0,20201006,20201212
16,0,0,0,0,0,0,0,20201006,20201212
17,0,0,0,0,0,0,0,20201006,20201212
18,0,0,0,0,0,0,0,20201006,20201212
19,0,0,0,0,0,0,0,20201006,20201212
20,0,0,0,0,0,0,0,20201006,20201212
21,1,1,1,1,1,0,0,20201006,20201212
22,0,0,0,0,0,1,0,20201006,20201212
23,0,0,0,0,0,1,1,20201006,20201212
24,1,1,1,1,1,1,0,20201006,20201212
25,0,0,0,0,0,0,1,20201006,20201212
26,1,1,1,1,1,1,1,20201006,20201212
27,1,1,1,1,1,0,0,20201006,20201212
28,1,1,1,1,1,1,0,20201006,20201212
29,1,1,1,1,1,1,0,20201006,20201212
30,1,1,1,1,0,0,1,20201006,20201212
31,0,0,0,0,0,0,0,20201006,20201212
32,0,0,0,0,0,1,0,20201006,20201212
33,1,1,1,1,1,0,0,20201006,20201212
34,0,0,0,0,0,0,0,20201006,20201212
35,0,0,0,0,0,0,0,20201006,20201212
36,0,0,0,0,0,0,0,20201006,20201212
37,1,1,1,1,1,0,0,20201006,20201212
38,0,0,0,0,0,1,1,20201006,20201212
39,0,0,0,0,0,0,0,20201006,20201212
40,1,1,1,1,1,1,0,20201006,20201212
41,0,0,0,0,0,0,0,20201006,20201212
42,1,1,1,1,1,1,1,20201006,20201212
43,0,0,0,0,0,1,0,20201006,20201212
44,1,1,1,1,1,0,0,20201006,20201212
45,0,0,0,0,0,0,1,20201006,20201212
46,0,0,0,0,0,0,1,20201006,20201212
47,0,0,0,0,0,0,0,20201006,20201212
48,1,1,1,1,1,0,1,20201006,20201212
49,0,0,0,0,0,1,1,20201006,20201212
50,0,0,0,0,0,1,0,20201006,20201212
51,1,1,1,1,1,1,1,20201006,20201212
52,1,1,1,1,1,1,1,20201006,20201212
53,0,0,0,0,0,1,1,20201006,20201212
54,0,0,0,0,0,0,0,20201006,20201212
55,0,0,0,0,0,1,1,20201006,20201212
56,0,0,0,0,0,0,0,20201006,20201212
57,0,0,0,0,0,1,1,20201006,20201212
