"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
2606,171,"L40","",3,"","",""
2497,171,"L70","",3,"","",""
2496,171,"L50","",3,"","",""
2441,171,"L30","",3,"","",""
2401,171,"L60","",3,"","",""
2321,171,"L10","",3,"","",""
2466,111,"T1","",0,"","",""
314,11,"RE","",2,"","",""
313,11,"RB","",2,"","",""
311,11,"IC","",2,"","",""
308,11,"TGV","",2,"","",""
307,11,"TER","",2,"","",""
306,11,"RE","",2,"","",""
302,11,"TGV","",2,"","",""
301,11,"TER","",2,"","",""
300,11,"RE","",2,"","",""
299,11,"RB","",2,"","",""
297,11,"IC","",2,"","",""
294,11,"RE","",2,"","",""
293,11,"RB","",2,"","",""
2990,6,"96","",3,"","",""
2989,6,"94","",3,"","",""
2988,6,"93","",3,"","",""
2987,6,"92","",3,"","",""
2986,6,"90","",3,"","",""
2985,6,"88","",3,"","",""
2984,6,"86","",3,"","",""
2983,6,"83","",3,"","",""
2982,6,"81","",3,"","",""
2981,6,"78","",3,"","",""
2980,6,"75","",3,"","",""
2979,6,"74","",3,"","",""
2978,6,"73","",3,"","",""
2977,6,"72","",3,"","",""
2976,6,"71","",3,"","",""
2666,6,"70","",3,"","",""
1969,6,"31","",3,"","",""
1968,6,"30","",3,"","",""
1967,6,"29","",3,"","",""
1966,6,"28","",3,"","",""
1947,6,"27","",3,"","",""
1946,6,"26","",3,"","",""
1823,6,"76","",3,"","",""
366,6,"25","",3,"","",""
283,6,"CSB","",3,"","",""
279,6,"9","",3,"","",""
278,6,"8","",3,"","",""
277,6,"7","",3,"","",""
276,6,"6","",3,"","",""
275,6,"5","",3,"","",""
274,6,"4","",3,"","",""
273,6,"3","",3,"","",""
272,6,"24","",3,"","",""
271,6,"23","",3,"","",""
270,6,"22","",3,"","",""
269,6,"21","",3,"","",""
268,6,"20","",3,"","",""
267,6,"2","",3,"","",""
266,6,"19","",3,"","",""
265,6,"18","",3,"","",""
264,6,"17","",3,"","",""
263,6,"16","",3,"","",""
262,6,"15","",3,"","",""
261,6,"14","",3,"","",""
260,6,"13","",3,"","",""
259,6,"12","",3,"","",""
258,6,"11","",3,"","",""
257,6,"10","",3,"","",""
256,6,"1","",3,"","",""
2866,16,"884","",3,"","",""
2740,16,"973","",3,"","",""
2739,16,"972","",3,"","",""
2738,16,"971","",3,"","",""
2735,16,"940","",3,"","",""
2730,16,"904","",3,"","",""
2729,16,"900","",3,"","",""
2728,16,"891","",3,"","",""
2727,16,"883","",3,"","",""
2726,16,"882","",3,"","",""
2725,16,"880","",3,"","",""
2724,16,"875","",3,"","",""
2723,16,"870","",3,"","",""
2722,16,"864","",3,"","",""
2721,16,"863","",3,"","",""
2720,16,"862","",3,"","",""
2719,16,"861","",3,"","",""
2718,16,"860","",3,"","",""
2717,16,"850","",3,"","",""
2716,16,"841","",3,"","",""
2715,16,"840","",3,"","",""
2714,16,"835","",3,"","",""
2713,16,"820","",3,"","",""
2712,16,"817","",3,"","",""
2711,16,"813","",3,"","",""
2710,16,"812","",3,"","",""
2709,16,"811","",3,"","",""
2708,16,"800","",3,"","",""
2707,16,"796","",3,"","",""
2706,16,"795","",3,"","",""
2705,16,"785","",3,"","",""
2704,16,"784","",3,"","",""
2703,16,"783","",3,"","",""
2702,16,"782","",3,"","",""
2701,16,"781","",3,"","",""
2700,16,"774","",3,"","",""
2699,16,"773","",3,"","",""
2698,16,"772","",3,"","",""
2697,16,"771","",3,"","",""
2696,16,"770","",3,"","",""
2695,16,"768","",3,"","",""
2694,16,"767","",3,"","",""
2693,16,"766","",3,"","",""
2692,16,"762","",3,"","",""
2691,16,"761","",3,"","",""
2690,16,"760","",3,"","",""
2689,16,"751","",3,"","",""
2688,16,"750","",3,"","",""
2687,16,"745","",3,"","",""
2686,16,"740","",3,"","",""
2685,16,"730","",3,"","",""
2684,16,"671","",3,"","",""
2683,16,"670","",3,"","",""
2682,16,"662","",3,"","",""
2681,16,"661","",3,"","",""
2680,16,"660","",3,"","",""
2679,16,"653","",3,"","",""
2678,16,"651","",3,"","",""
2677,16,"650","",3,"","",""
2676,16,"641","",3,"","",""
2675,16,"640","",3,"","",""
2674,16,"622","",3,"","",""
2673,16,"613","",3,"","",""
2672,16,"610","",3,"","",""
2671,16,"600","",3,"","",""
1888,16,"612","",3,"","",""
1887,16,"611","",3,"","",""
1886,16,"821","",3,"","",""
1885,16,"822","",3,"","",""
1882,16,"823","",3,"","",""
1880,16,"830","",3,"","",""
1879,16,"804","",3,"","",""
1877,16,"803","",3,"","",""
1876,16,"801","",3,"","",""
1875,16,"630","",3,"","",""
1874,16,"881","",3,"","",""
1870,16,"621","",3,"","",""
1868,16,"802","",3,"","",""
1867,16,"620","",3,"","",""
1865,16,"902","",3,"","",""
1863,16,"901","",3,"","",""
1859,16,"810","",3,"","",""
1854,16,"814","",3,"","",""
1851,16,"601","",3,"","",""
1731,16,"15","",3,"","",""
989,16,"9","",3,"","",""
988,16,"8","",3,"","",""
987,16,"7","",3,"","",""
986,16,"6","",3,"","",""
985,16,"5","",3,"","",""
984,16,"4","",3,"","",""
983,16,"3","",3,"","",""
982,16,"2","",3,"","",""
981,16,"1","",3,"","",""
322,16,"17","",3,"","",""
321,16,"14","",3,"","",""
320,16,"13","",3,"","",""
319,16,"12","",3,"","",""
317,16,"10","",3,"","",""
2999,1,"478","",3,"","",""
2998,1,"476","",3,"","",""
2997,1,"189","",3,"","",""
2996,1,"188","",3,"","",""
2966,1,"968","",3,"","",""
2964,1,"324","",3,"","",""
2961,1,"133","",3,"","",""
2947,1,"316","",3,"","",""
2946,1,"143","",3,"","",""
2881,1,"183","",3,"","",""
2876,1,"621","",3,"","",""
2875,1,"302","",3,"","",""
2873,1,"186","",3,"","",""
2872,1,"181","",3,"","",""
2871,1,"146","",3,"","",""
2861,1,"514","",3,"","",""
2860,1,"513","",3,"","",""
2859,1,"489","",3,"","",""
2858,1,"214","",3,"","",""
2857,1,"141","",3,"","",""
2856,1,"103","",3,"","",""
2849,1,"968","",3,"","",""
2848,1,"951","",3,"","",""
2846,1,"307","",3,"","",""
2845,1,"304","",3,"","",""
2843,1,"162","",3,"","",""
2841,1,"209","",3,"","",""
2839,1,"991","",3,"","",""
2838,1,"960","",3,"","",""
2836,1,"122","",3,"","",""
2830,1,"996","",3,"","",""
2829,1,"995","",3,"","",""
2828,1,"994","",3,"","",""
2827,1,"993","",3,"","",""
2826,1,"992","",3,"","",""
2825,1,"990","",3,"","",""
2824,1,"989","",3,"","",""
2823,1,"985","",3,"","",""
2822,1,"980","",3,"","",""
2821,1,"972","",3,"","",""
2820,1,"971","",3,"","",""
2819,1,"965","",3,"","",""
2818,1,"952","",3,"","",""
2817,1,"647","",3,"","",""
2816,1,"633","",3,"","",""
2811,1,"329","",3,"","",""
2790,1,"688","",3,"","",""
2789,1,"684","",3,"","",""
2788,1,"678","",3,"","",""
2787,1,"666","",3,"","",""
2786,1,"662","",3,"","",""
2785,1,"661","",3,"","",""
2784,1,"641","",3,"","",""
2783,1,"630","",3,"","",""
2782,1,"609","",3,"","",""
2781,1,"606","",3,"","",""
2780,1,"600","",3,"","",""
2779,1,"561","",3,"","",""
2778,1,"546","",3,"","",""
2777,1,"531","",3,"","",""
2776,1,"517","",3,"","",""
2775,1,"508","",3,"","",""
2774,1,"492","",3,"","",""
2773,1,"488","",3,"","",""
2772,1,"487","",3,"","",""
2771,1,"481","",3,"","",""
2770,1,"472","",3,"","",""
2769,1,"465","",3,"","",""
2768,1,"457","",3,"","",""
2767,1,"455","",3,"","",""
2766,1,"415","",3,"","",""
2765,1,"355","",3,"","",""
2764,1,"352","",3,"","",""
2763,1,"350","",3,"","",""
2762,1,"346","",3,"","",""
2761,1,"312","",3,"","",""
2760,1,"311","",3,"","",""
2759,1,"310","",3,"","",""
2758,1,"308","",3,"","",""
2757,1,"289","",3,"","",""
2756,1,"288","",3,"","",""
2755,1,"287","",3,"","",""
2754,1,"286","",3,"","",""
2753,1,"266","",3,"","",""
2752,1,"256","",3,"","",""
2751,1,"251","",3,"","",""
2750,1,"241","",3,"","",""
2749,1,"208","",3,"","",""
2748,1,"187","",3,"","",""
2747,1,"178","",3,"","",""
2746,1,"168","",3,"","",""
2650,1,"664","",3,"","",""
2649,1,"657","",3,"","",""
2648,1,"599","",3,"","",""
2647,1,"597","",3,"","",""
2646,1,"596","",3,"","",""
2645,1,"594","",3,"","",""
2644,1,"587","",3,"","",""
2643,1,"586","",3,"","",""
2642,1,"585","",3,"","",""
2641,1,"584","",3,"","",""
2640,1,"582","",3,"","",""
2639,1,"580","",3,"","",""
2638,1,"480","",3,"","",""
2637,1,"479","",3,"","",""
2636,1,"473","",3,"","",""
2635,1,"471","",3,"","",""
2634,1,"469","",3,"","",""
2633,1,"464","",3,"","",""
2632,1,"428","",3,"","",""
2631,1,"425","",3,"","",""
2630,1,"424","",3,"","",""
2629,1,"423","",3,"","",""
2628,1,"418","",3,"","",""
2627,1,"417","",3,"","",""
2626,1,"344","",3,"","",""
2625,1,"342","",3,"","",""
2624,1,"341","",3,"","",""
2623,1,"339","",3,"","",""
2622,1,"338","",3,"","",""
2621,1,"337","",3,"","",""
2620,1,"331","",3,"","",""
2619,1,"201","",3,"","",""
2618,1,"198","",3,"","",""
2617,1,"196","",3,"","",""
2616,1,"193","",3,"","",""
2615,1,"171","",3,"","",""
2614,1,"166","",3,"","",""
2613,1,"164","",3,"","",""
2612,1,"145","",3,"","",""
2611,1,"126","",3,"","",""
2595,1,"848","",3,"","",""
2594,1,"842","",3,"","",""
2593,1,"834","",3,"","",""
2592,1,"822","",3,"","",""
2591,1,"820","",3,"","",""
2590,1,"819","",3,"","",""
2589,1,"817","",3,"","",""
2588,1,"815","",3,"","",""
2587,1,"812","",3,"","",""
2586,1,"800","",3,"","",""
2585,1,"751","",3,"","",""
2584,1,"750","",3,"","",""
2583,1,"686","",3,"","",""
2582,1,"680","",3,"","",""
2581,1,"511","",3,"","",""
2580,1,"445","",3,"","",""
2579,1,"399","",3,"","",""
2578,1,"398","",3,"","",""
2577,1,"394","",3,"","",""
2576,1,"334","",3,"","",""
2575,1,"216","",3,"","",""
2574,1,"211","",3,"","",""
2573,1,"206","",3,"","",""
2572,1,"191","",3,"","",""
2571,1,"151","",3,"","",""
2561,1,"677","",3,"","",""
2491,1,"998","",3,"","",""
2489,1,"983","",3,"","",""
2488,1,"885","",3,"","",""
2487,1,"670","",3,"","",""
2486,1,"568","",3,"","",""
2485,1,"558","",3,"","",""
2484,1,"552","",3,"","",""
2483,1,"550","",3,"","",""
2482,1,"545","",3,"","",""
2481,1,"515","",3,"","",""
2480,1,"470","",3,"","",""
2479,1,"431","",3,"","",""
2478,1,"407","",3,"","",""
2477,1,"301","",3,"","",""
2474,1,"212","",3,"","",""
2473,1,"207","",3,"","",""
2472,1,"200","",3,"","",""
2471,1,"190","",3,"","",""
2446,1,"303","",3,"","",""
2440,1,"628","",3,"","",""
2439,1,"608","",3,"","",""
2438,1,"605","",3,"","",""
2437,1,"572","",3,"","",""
2436,1,"537","",3,"","",""
2435,1,"530","",3,"","",""
2434,1,"525","",3,"","",""
2433,1,"519","",3,"","",""
2432,1,"518","",3,"","",""
2431,1,"416","",3,"","",""
2430,1,"405","",3,"","",""
2429,1,"402","",3,"","",""
2428,1,"400","",3,"","",""
2427,1,"332","",3,"","",""
2426,1,"330","",3,"","",""
2425,1,"323","",3,"","",""
2424,1,"322","",3,"","",""
2423,1,"321","",3,"","",""
2422,1,"315","",3,"","",""
2421,1,"314","",3,"","",""
2420,1,"309","",3,"","",""
2419,1,"305","",3,"","",""
2414,1,"267","",3,"","",""
2413,1,"255","",3,"","",""
2412,1,"180","",3,"","",""
2411,1,"170","",3,"","",""
2410,1,"159","",3,"","",""
2409,1,"158","",3,"","",""
2408,1,"157","",3,"","",""
2407,1,"156","",3,"","",""
2406,1,"155","",3,"","",""
2391,1,"119","",3,"","",""
2370,1,"742","",3,"","",""
2369,1,"740","",3,"","",""
2368,1,"720","",3,"","",""
2367,1,"622","",3,"","",""
2366,1,"620","",3,"","",""
2365,1,"595","",3,"","",""
2364,1,"592","",3,"","",""
2363,1,"590","",3,"","",""
2362,1,"553","",3,"","",""
2361,1,"512","",3,"","",""
2360,1,"510","",3,"","",""
2359,1,"509","",3,"","",""
2358,1,"496","",3,"","",""
2357,1,"477","",3,"","",""
2356,1,"450","",3,"","",""
2355,1,"437","",3,"","",""
2353,1,"325","",3,"","",""
2352,1,"319","",3,"","",""
2351,1,"313","",3,"","",""
2349,1,"272","",3,"","",""
2348,1,"270","",3,"","",""
2347,1,"265","",3,"","",""
2346,1,"258","",3,"","",""
2345,1,"240","",3,"","",""
2343,1,"226","",3,"","",""
2341,1,"218","",3,"","",""
2340,1,"213","",3,"","",""
2339,1,"210","",3,"","",""
2338,1,"205","",3,"","",""
2337,1,"204","",3,"","",""
2336,1,"203","",3,"","",""
2335,1,"202","",3,"","",""
2334,1,"163","",3,"","",""
2333,1,"150","",3,"","",""
2332,1,"142","",3,"","",""
2331,1,"140","",3,"","",""
2330,1,"131","",3,"","",""
2329,1,"118","",3,"","",""
2328,1,"117","",3,"","",""
2327,1,"116","",3,"","",""
2320,1,"619","",3,"","",""
2319,1,"306","",3,"","",""
2318,1,"184","",3,"","",""
2317,1,"182","",3,"","",""
2316,1,"152","",3,"","",""
2297,1,"638","",3,"","",""
2296,1,"260","",3,"","",""
2292,1,"215","",3,"","",""
2270,1,"860","",3,"","",""
2269,1,"840","",3,"","",""
2268,1,"805","",3,"","",""
2267,1,"803","",3,"","",""
2266,1,"655","",3,"","",""
2265,1,"645","",3,"","",""
2264,1,"613","",3,"","",""
2263,1,"571","",3,"","",""
2262,1,"570","",3,"","",""
2261,1,"520","",3,"","",""
2260,1,"474","",3,"","",""
2259,1,"295","",3,"","",""
2258,1,"290","",3,"","",""
2257,1,"250","",3,"","",""
2256,1,"129","",3,"","",""
2251,1,"507","",3,"","",""
2249,1,"453","",3,"","",""
2248,1,"414","",3,"","",""
2247,1,"808","",3,"","",""
2244,1,"501","",3,"","",""
2243,1,"500","",3,"","",""
2241,1,"485","",3,"","",""
2238,1,"192","",3,"","",""
2236,1,"176","",3,"","",""
2235,1,"175","",3,"","",""
2233,1,"120","",3,"","",""
2231,1,"112","",3,"","",""
2230,1,"111","",3,"","",""
2229,1,"110","",3,"","",""
2227,1,"177","",3,"","",""
2226,1,"176","",3,"","",""
2224,1,"161","",3,"","",""
2223,1,"160","",3,"","",""
2222,1,"135","",3,"","",""
2221,1,"113","",3,"","",""
2214,1,"982","",3,"","",""
2213,1,"970","",3,"","",""
2212,1,"955","",3,"","",""
2211,1,"950","",3,"","",""
2209,1,"810","",3,"","",""
2208,1,"808","",3,"","",""
2206,1,"185","",3,"","",""
2203,1,"340","",3,"","",""
2202,1,"248","",3,"","",""
2201,1,"222","",3,"","",""
2166,1,"588","",3,"","",""
2165,1,"435","",3,"","",""
2164,1,"429","",3,"","",""
2162,1,"335","",3,"","",""
2160,1,"276","",3,"","",""
2159,1,"275","",3,"","",""
2158,1,"262","",3,"","",""
2157,1,"261","",3,"","",""
2156,1,"249","",3,"","",""
2155,1,"233","",3,"","",""
2154,1,"225","",3,"","",""
2153,1,"199","",3,"","",""
2152,1,"197","",3,"","",""
2151,1,"134","",3,"","",""
2125,1,"975","",3,"","",""
2124,1,"948","",3,"","",""
2123,1,"946","",3,"","",""
2122,1,"944","",3,"","",""
2121,1,"942","",3,"","",""
2120,1,"940","",3,"","",""
2116,1,"825","",3,"","",""
2115,1,"752","",3,"","",""
2114,1,"665","",3,"","",""
2113,1,"663","",3,"","",""
2112,1,"660","",3,"","",""
2111,1,"650","",3,"","",""
2110,1,"642","",3,"","",""
2109,1,"640","",3,"","",""
2108,1,"625","",3,"","",""
2107,1,"618","",3,"","",""
2106,1,"610","",3,"","",""
2105,1,"577","",3,"","",""
2104,1,"575","",3,"","",""
2103,1,"565","",3,"","",""
2102,1,"564","",3,"","",""
2101,1,"562","",3,"","",""
2100,1,"560","",3,"","",""
2099,1,"557","",3,"","",""
2098,1,"556","",3,"","",""
2097,1,"555","",3,"","",""
2096,1,"554","",3,"","",""
2095,1,"540","",3,"","",""
2094,1,"535","",3,"","",""
2093,1,"522","",3,"","",""
2092,1,"521","",3,"","",""
2091,1,"506","",3,"","",""
2090,1,"505","",3,"","",""
2089,1,"504","",3,"","",""
2088,1,"503","",3,"","",""
2087,1,"502","",3,"","",""
2086,1,"486","",3,"","",""
2085,1,"483","",3,"","",""
2084,1,"475","",3,"","",""
2083,1,"468","",3,"","",""
2082,1,"447","",3,"","",""
2081,1,"422","",3,"","",""
2080,1,"421","",3,"","",""
2079,1,"420","",3,"","",""
2078,1,"419","",3,"","",""
2077,1,"409","",3,"","",""
2076,1,"403","",3,"","",""
2075,1,"300","",3,"","",""
2074,1,"128","",3,"","",""
2073,1,"121","",3,"","",""
2072,1,"102","",3,"","",""
2071,1,"101","",3,"","",""
2068,1,"172","",3,"","",""
2067,1,"144","",3,"","",""
2063,1,"108","",3,"","",""
2062,1,"104","",3,"","",""
2061,1,"100","",3,"","",""
2051,1,"689","",3,"","",""
2050,1,"687","",3,"","",""
2049,1,"685","",3,"","",""
2048,1,"682","",3,"","",""
2047,1,"635","",3,"","",""
2046,1,"634","",3,"","",""
2042,1,"195","",3,"","",""
2041,1,"194","",3,"","",""
2039,1,"165","",3,"","",""
2038,1,"132","",3,"","",""
2037,1,"130","",3,"","",""
2036,1,"125/1","",3,"","",""
2035,1,"107","",3,"","",""
