"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000200403005,000200403005,2,300,,,,
000200402003,000200402003,2,300,,,,
000200402004,000200402004,2,300,,,,
000200304002,000200304002,2,300,,,,
000200417037,000200417037,2,300,,,,
000200412005,000200412005,2,300,,,,
000200404022,000200404022,2,300,,,,
000200419026,000200419026,2,300,,,,
000200419026,000200419041,2,150,,,,
000200404024,000200404024,2,300,,,,
000200417038,000200417038,2,300,,,,
000200419024,000200419024,2,300,,,,
000200425005,000200425005,2,300,,,,
000200419020,000200419020,2,300,,,,
000201004002,000201004002,2,300,,,,
000200801007,000200801007,2,300,,,,
000200801005,000200801005,2,300,,,,
000200801008,000200801008,2,300,,,,
000200801003,000200801003,2,300,,,,
000200801004,000200801004,2,300,,,,
000200901015,000200901015,2,300,,,,
000200901014,000200901014,2,300,,,,
000200901003,000200901003,2,300,,,,
000200405008,000200405008,2,300,,,,
000200419019,000200419019,2,300,,,,
000200425008,000200425008,2,300,,,,
000200419014,000200419014,2,300,,,,
000200425009,000200425009,2,300,,,,
000200404016,000200404016,2,300,,,,
000200425002,000200425002,2,300,,,,
000200412016,000200412016,2,300,,,,
000200405001,000200405001,2,300,,,,
000200404004,000200404004,2,300,,,,
000200419008,000200419008,2,300,,,,
000200419012,000200419012,2,300,,,,
000200419022,000200419022,2,300,,,,
000200901004,000200901004,2,300,,,,
000200901017,000200901017,2,300,,,,
000200426002,000200426002,2,300,,,,
000200417030,000200417030,2,300,,,,
000200414005,000200414005,2,300,,,,
000200414002,000200414002,2,300,,,,
000200414001,000200414001,2,300,,,,
000200414008,000200414008,2,300,,,,
000200414004,000200414004,2,300,,,,
000200415004,000200415004,2,300,,,,
000200412012,000200412012,2,300,,,,
000200417005,000200417005,2,300,,,,
000200412007,000200412007,2,300,,,,
000200420002,000200420002,2,300,,,,
000200417016,000200417016,2,300,,,,
000200417007,000200417007,2,300,,,,
000200404003,000200404003,2,300,,,,
000200424001,000200424001,2,300,,,,
000200405035,000200405035,2,300,,,,
000200405035,000200405032,2,300,,,,
000200405035,000200405002,2,300,,,,
000200405035,000200405036,2,240,,,,
000200405035,000200405046,2,400,,,,
000200405035,000200405052,2,360,,,,
000200405035,000200405053,2,420,,,,
000200405035,000200405060,2,300,,,,
000200423004,000200423004,2,300,,,,
000200412003,000200412003,2,300,,,,
000200412001,000200412001,2,300,,,,
000200414007,000200414007,2,300,,,,
000200408007,000200408007,2,300,,,,
000200405020,000200405020,2,300,,,,
000200405020,000200405025,2,300,,,,
000200405020,000200405029,2,240,,,,
000200409009,000200409009,2,300,,,,
000200404018,000200404018,2,300,,,,
000200405006,000200405006,2,300,,,,
000200406018,000200406018,2,300,,,,
000200406004,000200406004,2,300,,,,
000200406003,000200406003,2,300,,,,
000200406019,000200406019,2,300,,,,
000200417032,000200417032,2,300,,,,
000200801002,000200801002,2,300,,,,
000200422003,000200422003,2,300,,,,
000200422007,000200422007,2,300,,,,
000200417004,000200417004,2,300,,,,
000200417004,000200417066,2,156,,,,
000200422005,000200422005,2,300,,,,
000200407008,000200407008,2,300,,,,
000200402006,000200402006,2,300,,,,
000200407006,000200407006,2,300,,,,
000200422009,000200422009,2,300,,,,
000200422001,000200422001,2,300,,,,
000200402007,000200402007,2,300,,,,
000200422008,000200422008,2,300,,,,
000200422011,000200422011,2,300,,,,
000200405003,000200405003,2,300,,,,
000200419005,000200419005,2,300,,,,
000200404021,000200404021,2,300,,,,
000200404028,000200404028,2,300,,,,
000200416001,000200416001,2,300,,,,
000200404033,000200404033,2,300,,,,
000200415008,000200415008,2,300,,,,
000200412011,000200412011,2,300,,,,
000200412002,000200412002,2,300,,,,
000200415013,000200415013,2,300,,,,
000200417001,000200417001,2,300,,,,
000200403010,000200403010,2,300,,,,
000200404014,000200404014,2,300,,,,
000200404023,000200404023,2,300,,,,
000200304007,000200304007,2,300,,,,
000200419034,000200419034,2,300,,,,
000200404017,000200404017,2,300,,,,
000201004001,000201004001,2,300,,,,
000201004001,000201004003,2,240,,,,
000200419030,000200419030,2,300,,,,
000200404036,000200404036,2,300,,,,
000200419001,000200419001,2,300,,,,
000200404013,000200404013,2,300,,,,
000200409003,000200409003,2,300,,,,
000200405039,000200405039,2,300,,,,
000200304006,000200304006,2,300,,,,
000200304011,000200304011,2,300,,,,
000200304011,000200304014,2,564,,,,
000200901018,000200901018,2,300,,,,
000200406011,000200406011,2,300,,,,
000200420001,000200420001,2,300,,,,
000200406007,000200406007,2,300,,,,
000200901025,000200901025,2,300,,,,
000200406017,000200406017,2,300,,,,
000200406012,000200406012,2,300,,,,
000200901019,000200901019,2,300,,,,
000200408008,000200408008,2,300,,,,
000200408006,000200408006,2,300,,,,
000200501004,000200501004,2,300,,,,
000200403015,000200403015,2,300,,,,
000200508001,000200508001,2,300,,,,
000200404029,000200404029,2,300,,,,
000200420004,000200420004,2,300,,,,
000200412004,000200412004,2,300,,,,
000200412008,000200412008,2,300,,,,
000200420003,000200420003,2,300,,,,
000200403002,000200403002,2,300,,,,
000200403001,000200403001,2,300,,,,
000200405018,000200405018,2,300,,,,
000200508003,000200508003,2,300,,,,
000200423001,000200423001,2,300,,,,
000200404037,000200404037,2,300,,,,
000200404027,000200404027,2,300,,,,
000200406010,000200406010,2,300,,,,
000200406002,000200406002,2,300,,,,
000200406005,000200406005,2,300,,,,
000200405007,000200405007,2,300,,,,
000200403017,000200403017,2,300,,,,
000200425004,000200425004,2,300,,,,
000200420011,000200420011,2,300,,,,
000200420008,000200420008,2,300,,,,
000200420014,000200420014,2,300,,,,
000200420013,000200420013,2,300,,,,
000200419029,000200419029,2,300,,,,
000200901013,000200901013,2,300,,,,
000200901008,000200901008,2,300,,,,
000200425011,000200425011,2,300,,,,
000200425012,000200425012,2,300,,,,
000200421004,000200421004,2,300,,,,
000200420010,000200420010,2,300,,,,
000200426006,000200426006,2,300,,,,
000200426011,000200426011,2,300,,,,
000200408003,000200408003,2,300,,,,
000200426004,000200426004,2,300,,,,
000200408005,000200408005,2,300,,,,
000200406013,000200406013,2,300,,,,
000200408001,000200408001,2,300,,,,
000200417022,000200417022,2,300,,,,
000200417025,000200417025,2,300,,,,
000200406015,000200406015,2,300,,,,
000200423002,000200423002,2,300,,,,
000200406009,000200406009,2,300,,,,
000200406009,000200406024,2,120,,,,
000200406009,000200406025,2,120,,,,
000200403019,000200403019,2,300,,,,
000200403003,000200403003,2,300,,,,
000200420009,000200420009,2,300,,,,
000200419007,000200419007,2,300,,,,
000200422010,000200422010,2,300,,,,
000200422004,000200422004,2,300,,,,
000200304008,000200304008,2,300,,,,
000200405022,000200405022,2,300,,,,
000200403008,000200403008,2,300,,,,
000200404025,000200404025,2,300,,,,
000200419013,000200419013,2,300,,,,
000200410005,000200410005,2,300,,,,
000200419018,000200419018,2,300,,,,
000200419025,000200419025,2,300,,,,
000200419002,000200419002,2,300,,,,
000200419011,000200419011,2,300,,,,
000200419035,000200419035,2,300,,,,
000200403007,000200403007,2,300,,,,
000200420012,000200420012,2,300,,,,
000200403013,000200403013,2,300,,,,
000200403021,000200403021,2,300,,,,
000200409011,000200409011,2,300,,,,
000200409008,000200409008,2,300,,,,
000200403004,000200403004,2,300,,,,
000200417013,000200417013,2,300,,,,
000200412020,000200412020,2,300,,,,
000200422006,000200422006,2,300,,,,
000200422002,000200422002,2,300,,,,
000200417020,000200417020,2,300,,,,
000200426005,000200426005,2,300,,,,
000200426008,000200426008,2,300,,,,
000200426009,000200426009,2,300,,,,
000200426010,000200426010,2,300,,,,
000200413001,000200413001,2,300,,,,
000200404034,000200404034,2,300,,,,
000200404026,000200404026,2,300,,,,
000200423003,000200423003,2,300,,,,
000200403020,000200403020,2,300,,,,
000200423005,000200423005,2,300,,,,
000200304003,000200304003,2,300,,,,
000200409010,000200409010,2,300,,,,
000200406016,000200406016,2,300,,,,
000200426001,000200426001,2,300,,,,
000200406008,000200406008,2,300,,,,
000200426003,000200426003,2,300,,,,
000200304005,000200304005,2,300,,,,
000200304013,000200304013,2,300,,,,
000200417024,000200417024,2,300,,,,
000200417026,000200417026,2,300,,,,
000200417021,000200417021,2,300,,,,
000200417021,000200417014,2,642,,,,
000200417021,000200417048,2,216,,,,
000200421006,000200421006,2,300,,,,
000200421003,000200421003,2,300,,,,
000200415012,000200415012,2,300,,,,
000200407011,000200407011,2,300,,,,
